num,content,sentiment,sentiment_score
1,帅死我了@离绛沅露 @林念月- @宁琳念林年恋怜莲捻 @y月见影 @丰饶莳穗 @旺仔牛奶加红茶 @羽䒫不是带鱼 @白黎君,Positive,0.9991379976272583
2,依稀记得名鸽看捞已经好几年了，没想到会画队拟，真帅啊帅得都不认识了，mrc我就笑纳啦，呆鸟我就笑纳啦，wbg我就笑纳啦，抖五我就笑纳啦😋😋,Neutral,0.5690051913261414
3,@文轩数言 @路过路过ovo,Positive,0.9998970031738281
4,@千颂绘梨衣 @MADAO的奇妙冒险 @穿背带裤的地球 @ziangQwQ 帅的不行[给心心],Positive,0.9999740123748779
5,@春雾听泉 @枫原万叶的皮鼓 @叅莯也可以是木木木 @雾子枭 @阿晚iw 我们十个战队真厉害[脱单doge],Positive,0.9999644756317139
6,@King小琳 太帅了[鼓掌],Positive,0.9999608993530273
7,@夏沫游鳞 @方块君在回想 @予白以告 @Windwhite @气泡水-ovo-,Neutral,0.5158572196960449
8,@猫有多胖 好热血我出来了,Positive,0.9993206262588501
9,@d加拿大鹅b,Negative,0.9969155788421631
10,我们十支战队真厉害！,Neutral,0.936725914478302
11,这个鸟为什么看起来很好嬷的样子,Negative,0.9988800883293152
12,終於有人畫我喜歡的戰隊TRD了，啊啊啊啊老師我喜歡你,Positive,0.999971866607666
13,@可阂 这个帅帅的[保卫萝卜_笔芯],Positive,0.9999830722808838
14,小奇白切黑我喜[星星眼][星星眼],Positive,0.9999134540557861
15,我们九个战队真厉害[无限暖暖_毛线汪汪][无限暖暖_毛线汪汪],Positive,0.9884198904037476
16,我们就是奇迹！！mrc深渊加油！！,Positive,0.9999396800994873
17,哎哟我去博粉晕倒了。女神你咋这么会画 最喜欢的一个是我主推的救赎感,Positive,0.9999711513519287
18,@柑橘炸鱼,Positive,0.9930061101913452
19,@楚江坼樾,Positive,0.9991003274917603
20,hhhhhhhhh还有经典的tbd退赛环节,Positive,0.995078444480896
21,我当年最喜欢的老师画了我现在最喜欢的ivl！,Positive,0.9998767375946045
22,@离绛沅露 @缈子 @搞的要鼠_爱播小猪版 @八浪嘿_虎浪嘿 @丰饶莳穗 @羽䒫不是带鱼,Negative,0.9875921607017517
23,@请你吃奥巧脆,Positive,0.9979938268661499
